index,state,Day,Month,Year,order_date,revenue
1,Arkansas,Wednesday,December,2014,12/24/2014,1311
2,Florida,Wednesday,October,2014,10/15/2014,698
3,Iowa,Sunday,September,2014,9/7/2014,1193
4,Indiana,Monday,May,2014,5/19/2014,469
5,Maine,Saturday,April,2014,4/19/2014,334
6,Arkansas,Sunday,December,2014,12/7/2014,1200
7,Idaho,Saturday,November,2014,11/15/2014,1258
8,Alaska,Saturday,April,2014,4/19/2014,716
9,Missouri,Friday,June,2014,6/27/2014,1300
10,Maine,Tuesday,April,2014,4/8/2014,260
11,California,Saturday,September,2014,9/13/2014,622
12,Nebraska,Thursday,May,2014,5/22/2014,787
13,Delaware,Monday,August,2014,8/25/2014,936
14,Kansas,Tuesday,June,2014,6/17/2014,1250
15,Missouri,Monday,December,2014,12/8/2014,1109
16,Oklahoma,Thursday,August,2014,8/7/2014,594
17,Nebraska,Friday,October,2014,10/17/2014,679
18,Alaska,Wednesday,May,2014,5/21/2014,649
19,Delaware,Thursday,November,2014,11/27/2014,964
20,Nebraska,Thursday,August,2014,8/28/2014,702
21,Kansas,Sunday,October,2014,10/5/2014,1053
22,Nevada,Monday,May,2014,5/19/2014,414
23,Indiana,Monday,May,2014,5/5/2014,529
24,Missouri,Friday,March,2014,3/7/2014,1302
25,Montana,Sunday,October,2014,10/12/2014,817
26,Indiana,Friday,August,2014,8/8/2014,560
27,Arkansas,Thursday,September,2014,9/4/2014,1158
28,Indiana,Tuesday,March,2014,3/25/2014,435
29,Oklahoma,Friday,May,2014,5/23/2014,512
30,Florida,Wednesday,July,2014,7/23/2014,912
31,Montana,Wednesday,November,2014,11/12/2014,761
32,Montana,Wednesday,August,2014,8/6/2014,978
33,Indiana,Wednesday,February,2014,2/26/2014,651
34,Ohio,Tuesday,February,2014,2/4/2014,819
35,Montana,Sunday,March,2014,3/30/2014,827
36,Georgia,Saturday,July,2014,7/19/2014,1366
37,New Mexico,Monday,October,2014,10/13/2014,1021
38,Iowa,Friday,February,2014,2/28/2014,1133
39,Louisiana,Saturday,May,2014,5/24/2014,1437
40,Ohio,Saturday,February,2014,2/1/2014,617
41,Nebraska,Friday,January,2014,1/17/2014,821
42,Mississippi,Friday,February,2014,2/14/2014,633
43,Kansas,Tuesday,July,2014,7/29/2014,1336
44,Florida,Tuesday,May,2014,5/27/2014,931
45,Delaware,Friday,October,2014,10/24/2014,927
46,Idaho,Friday,November,2014,11/28/2014,1250
47,Ohio,Sunday,December,2014,12/7/2014,606
48,Maine,Saturday,February,2014,2/8/2014,346
